#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,arandr,"is a UI for screen adjustment."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,nitrogen,"sets the wallpaper."
,gnome-keyring,"serves as the system keyring."
,man-db,"lets you read man pages of programs."
,firefox,"an open source and elegant browser."
,noto-fonts-emoji,"is an emoji font."
,noto-fonts-cjk,"is a family font for asian characters."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,newsboat,"is my RSS reader"
,socat,"is a socket utility."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-autosuggestions,"provides suggestions in the shell."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
S,https://github.com/zedxlucian/dwmblocks.git,"is the DWM status bar."
S,https://github.com/zedxlucian/dwm.git,"is the window manager, customized to my needs."
S,https://github.com/zedxlucian/st.git,"is the terminal emulator."
S,https://github.com/zedxlucian/dmenu.git,"is the app launcher."
A,betterlockscreen,"allows you to lock your computer, and quickly unlock with your password."
A,zsh-theme-powerlevel10k-git,"is a terminal prompt, its fast and beautiful."
,fd,"is a faster, lightweight replacement for find command."
,ripgrep,"is basically grep on steroids."
,shellcheck,"provides shell checking in shell scripts."
,xss-lock,"allows the locking of the screen when in idle."
,mlocate,"provides a faster way to find file on your system."
A,stig,"is a bit torrent client written in python."
,neovim,"is vim on steroids."
,emacs,"is basically my new computing environment."
,lxapperance,"is a graphical tool to set GTK themes."
,mpv,"is my video player."
A,teamviewer,"is a remote connectivity software."
,exa,"is a replacement for the ls command."
,ttf-font-awesome,"is a font required for the icons in the status bar."
A,lazygit-git,"is a front-end for git."
,xorg-xev,"is a utility that allows to check description of keys."
,neofetch,"is a system ressources fetcher."
,terminus-font,"is my special font for TTY console."
A,megasync-git,"is an open source cloud storage provider."
A,ttf-iosevka-term-ss04,"is the font I use in Emacs."
A,otf-san-francisco-pro,"is the variable-pitch-font in Emacs."
,transmission-cli,"is a torrent application."
,numlockx,"is a tool to automatically lock your numerical pad."
A,checkupdates+aur,"queries updatable packages from pacman and the aur."
,pacman-contrib,"are contributed scripts and tools for pacman systems."
